pref,unemployed05,crime05,unemployed10,crime10
北海道,6.5,12.98,7.1,9.3
青森県,8.4,10.28,9,7.24
岩手県,6.2,8.15,7.1,5.56
宮城県,6.9,14.13,7.8,10.48
秋田県,6.1,7.51,7,4.98
山形県,4.8,8.51,5.8,6.14
福島県,6,11.73,7.1,9.57
茨城県,5.9,17.57,6.7,13.91
栃木県,5.4,16.55,6.3,11.71
群馬県,5.7,17.52,6.3,11.06
埼玉県,5.7,22.26,6.3,14.77
千葉県,5.6,21.64,6.1,14.85
東京都,5.6,20.19,5.9,14.89
神奈川県,5.5,16.26,5.8,10.32
新潟県,4.8,11.59,5.5,8.94
富山県,4.4,11.84,5.2,7.02
石川県,4.7,10.85,5.4,7.09
福井県,4.2,10.13,5.2,7.51
山梨県,5.3,12.08,6.2,9.18
長野県,4.6,12.18,5.4,8.5
岐阜県,4.8,18.34,5.6,12.02
静岡県,4.6,14.64,5.8,10.48
愛知県,4.6,27.42,5.1,17.3
三重県,4.7,18.46,5.1,12.63
滋賀県,4.7,13.58,5.1,10.99
京都府,6,21.75,6.2,16.03
大阪府,8.6,28.3,8,20.56
兵庫県,6.5,21.74,6.5,14.47
奈良県,6.6,15.03,7.4,10.31
和歌山県,6.3,15.98,6.7,12.1
鳥取県,5.5,12.16,5.9,8.81
島根県,4.4,10.22,4.6,7.13
岡山県,5.3,16.4,7.2,12.39
広島県,5,12.84,5.4,9.9
山口県,5.1,11.62,5.9,8.52
徳島県,7.3,11.92,7.6,9.05
香川県,6.1,16.79,6.3,10.48
愛媛県,6.4,15.1,7.3,11.65
高知県,7.9,15.44,7.7,11.37
福岡県,7.4,21.15,7.8,15.54
佐賀県,5.7,12.74,6.3,9.58
長崎県,6.5,8.68,6.6,6.27
熊本県,5.9,12.05,6.7,8.42
大分県,6.1,10.78,7.1,7.26
宮崎県,6.1,10.43,7,7.71
鹿児島県,6.9,8.52,6.8,6.68
沖縄県,11.9,14.15,11,9.25
